OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-405920072325301,S136462. 1,Well,,02030201,,,,,40.98904444000000,-72.5481361000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,37,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,20160331,50,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-405920072325501,S136461. 1,Well,,02030201,,,,,40.98895830000000,-72.5486583000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,38,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,20160331,50,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-405921072181101,"Ligonee Brook Culvert at Sag Harbor, NY",Stream,,02030202,,,,,40.98916667000000,-72.3030556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-405927072041901,S 57372. 1,Well,,02030202,,,,,40.99093470000000,-72.0714636000000,24000,1,seconds,Interpolated from MAP.,NAD83,8.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,197511,12,ft,102,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-405935072185501,"Harbor Ave Beach at Sag Harbor, NY",Well,,02030202,,,,,40.99305556000000,-72.3152777800000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-405938072291101,S119423.1,Well,,02030202,,,,,40.99388889000000,-72.4863888900000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,,15,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-405950072124501,S 58925. 1,Well,,02030202,,,,,40.99802778000000,-72.2117777800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,72.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,19760701,92,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-405954072201901,"Pine Neck, Noyack, NY, well01",Well,,02030202,,,,,40.99844444000000,-72.3385277800000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,20131107,8.0,ft,8.0,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410011072174601,"Windmill Beach at Sag Harbor, NY",Well,,02030202,,,,,41.00305556000000,-72.2961111000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410015072315301,ML-8,Well,,02030201,,,,,41.00416667000000,-72.5313888900000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,11,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,,60,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410034072094701,S 15048. 1,Well,,02030202,,,,,41.00977778000000,-72.1627777800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,20.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,19560725,46,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410044072291301,S 71278. 1,Well,,02030202,,,,,41.01232297000000,-72.4864748000000,24000,1,seconds,Interpolated from MAP.,NAD83,33,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,44,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410045072291201,S136457. 1,Well,,02030202,,,,,41.01250000000000,-72.4866667000000,24000,1,minutes,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,32,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,,40,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410052072134001,S 57371. 1,Well,,02030202,,,,,41.01502778000000,-72.2277777800000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,24.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,19751101,62,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410111072120701,"WEST SHORE OF THREE MILE HARBOR, NORTHWEST HARBOR",Well,,02030202,,,,,41.01966667000000,-72.2018888900000,,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,6,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,20131107,8.0,ft,8.0,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410127072273501,S115429. 1,Well,,02030202,,,,,41.02426716000000,-72.4592521000000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,19990927,20,ft,25,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410138072303001,"S 137733, NY",Well,,02030202,,,,,41.02733330000000,-72.5078027800000,24000,.1,seconds,Unknown.,NAD83,60,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,,60,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410149071583201,S 48577. 1,Well,,02030202,,,,,41.03055556000000,-71.9750556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,168.1,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,19730907,189,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410241072212302,S 75437. 2,Well,,02030202,,,,,41.04472220000000,-72.3563888900000,24000,.01,seconds,Differentially corrected Global Positioning System.,NAD83,8.5,feet,.1,feet,Level or other surveyed method.,NAVD88,US,36,103,Sand and gravel aquifers (glaciated regions),,"Glacial Aquifer, Upper",Unconfined single aquifer,20090923,30,ft,30,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410253072192601,S 90279. 1,Well,,02030202,,,,,41.04788889000000,-72.3257500000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,20.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,22.5,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410303071553201,"Stepping Stones Pond near Culvert at Montauk, NY","Lake, Reservoir, Impoundment",,02030202,,,,,41.05083330000000,-71.9255556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410306073454901,WE 652,Well,,02030102,,,,,41.05166667000000,-73.7630556000000,24000,3,seconds,Interpolated from MAP.,NAD83,200,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,119,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,,,23.0,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410309072205601,S 75438. 1,Well,,02030202,,,,,41.05550000000000,-72.3478333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,11.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,19830930,23,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410312071553801,"West Lake Drive 0.2 mi N of Route 70, Montauk NY",Well,,02030202,,,,,41.05333330000000,-71.9272222000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410316072192901,S 51177. 1,Well,,02030202,,,,,41.05458330000000,-72.3243888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,17.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,19731122,39,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410340072201201,S106177. 1,Well,,02030202,,,,,41.06121046000000,-72.3361938000000,24000,1,seconds,Interpolated from MAP.,NAD83,30.3,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,70,ft,73,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410346072215901,SI02,Well,,02030202,,,,,41.06286110000000,-72.3664722000000,,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,20171108,6,ft,6,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410348072272900,S 47233. 1,Well,,02030201,,,,,41.06343360000000,-72.4575858000000,24000,1,seconds,Interpolated from MAP.,NAD83,11.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,51,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410353071560801,"West Lake Dr South of Star Island at Montauk, NY",Well,,02030202,,,,,41.06472220000000,-71.9355556000000,24000,1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410400072202001,S 52050. 1,Well,,02030202,,,,,41.06648820000000,-72.3384161000000,24000,1,seconds,Interpolated from MAP.,NAD83,44.0,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,64,ft,348,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410410072214701,S 51171. 1,Well,,02030202,,,,,41.06954395000000,-72.3625834000000,24000,1,seconds,Interpolated from MAP.,NAD83,27.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,55,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410416072195802,S106173. 1,Well,,02030202,,,,,41.07121037000000,-72.3323049000000,24000,1,seconds,Interpolated from MAP.,NAD83,35.8,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,70,ft,72,ft,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410416072205101,S 51175. 1,Well,,02030202,,,,,41.07121048000000,-72.3470275000000,24000,1,seconds,Interpolated from MAP.,NAD83,39.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,60,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410425072215801,SI01,Well,,02030202,,,,,41.07362500000000,-72.3661944000000,,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,20161012,5,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410430072202301,S 51176. 1,Well,,02030202,,,,,41.07516667000000,-72.3395556000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,39.6,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,19731202,59,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410437072205601,S 51174. 1,Well,,02030202,,,,,41.07704379000000,-72.3484164000000,24000,1,seconds,Interpolated from MAP.,NAD83,45.5,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,63,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410439072173501,S 75432. 2,Well,,02030202,,,,,41.07777778000000,-72.2928333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,21,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,19831011,29,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410534072204301,S 75435. 1,Well,,02030202,,,,,41.09287699000000,-72.3445274000000,24000,1,seconds,Interpolated from MAP.,NAD83,21.7,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,,37,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410602072195801,S 51182. 1,Well,,02030202,,,,,41.10086110000000,-72.3333888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,55.1,feet,0.1,feet,Level or other surveyed method.,NGVD29,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",,19740124,76,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410654074005401,RO 560,Well,,02030103,,,,,41.11500000000000,-74.0152777800000,24000,3,seconds,Interpolated from Digital MAP.,NAD83,302,feet,1,feet,Level or other surveyed method.,NGVD29,US,36,087,,,Brunswick Formation,,,363,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410744074074901,RO 513,Well,,02030103,,,,,41.13030556000000,-74.1318056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,308,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,087,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,Unconfined single aquifer,19590101,93,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410840073545201,RO 853,Well,,02030103,,,,,41.14527778000000,-73.9155556000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,161,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,087,,,Palisade Diabase,,20040517,575,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410842073400701,WE1483,Well,,01100006,,,,,41.14583330000000,-73.6663888900000,24000,3,seconds,Interpolated from MAP.,NAD83,442,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,119,,,Sand and Gravel,,,40,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410900072153201,"S 137734, NY",Well,,02030202,,,,,41.14997220000000,-72.2588000000000,24000,Unknown,Unknown,Unknown.,NAD83,15,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,,25,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-410903072153601,S131250. 1,Well,,02030202,,,,,41.15097220000000,-72.2601111000000,24000,.01,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,,,,,,,US,36,103,Northern Atlantic Coastal Plain aquifer system,,"Glacial Aquifer, Upper",Unconfined single aquifer,20120118,80,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411008073354401,WE5230,Well,,01100006,,,,,41.16730556000000,-73.5954444000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,483,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,119,,,"Cambrian, Upper",Confined single aquifer,20000705,455,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411102074184901,O7842,Well,,02030103,,,,,41.18372220000000,-74.3135833000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,704,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,Basement Complex,Confined single aquifer,20061003,300,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411305073515502,WE1482,Well,,02030101,,,,,41.21805556000000,-73.8655556000000,24000,3,seconds,Interpolated from MAP.,NAD83,39,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,119,,,Sand and Gravel,,,75,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411334074175901,AT 12026 EPHEMERAL UNNAMED  TRIB TO GREENWOOD LK,Stream,,02030103,,,,,41.22638610000000,-74.2998111000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,775,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411410073420301,WE5014,Well,,02030101,,,,,41.24172220000000,-73.6783056000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,265,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,119,,,"Ice-Contact Deposits, Pleistocene",Unconfined single aquifer,19780101,71.5,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411533074090201,AT 13077 UNNAMED EPHEMERAL TRIB TO RAMAPO RIVER NY,Stream,,02030103,,,,,41.25934167000000,-74.1507222000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,765,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411554074115401,AT 13078 UNNAMED EPHEM TRIB TO LITTLE DAM LAKE NY,Stream,,02030103,,,,,41.26508889000000,-74.1985222000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,856,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411632073332101,WE 201,Well,,02030101,,,,,41.27558330000000,-73.5559167000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,544,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,119,,,Bedrock,,,300,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411632074040201,AT 13076 BOCKEY SWAMP BROOK NY,Stream,,02020008,,,,,41.27581110000000,-74.0674056000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,1080,feet,5,feet,Interpolated from topographic map.,NAVD88,US,36,071,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411707073420901,WE6369,Well,,02030101,,,,,41.28638889000000,-73.7027777800000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,495,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,119,,,Trenton Group,,20070918,405,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411726074043701,AT 13075 UNNAMED EPHEM TRIB TO LAKE NAWAHUNTA NY,Stream,,02020008,,,,,41.29075278000000,-74.0769861000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,890,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411736074275102,O2290,Well,,02020007,,,,,41.29333330000000,-74.4627777800000,24000,3,seconds,Interpolated from MAP.,NAD83,384,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,Sand and Gravel,,,66,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411824074122501,O8876,Well,,02030103,,,,,41.30666667000000,-74.2069444000000,24000,1,seconds,Interpolated from MAP.,NAD83,859,feet,1,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,Bedrock,,20080602,160,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411844074085601,RAMAPO RIVER AT RIVER ROAD AT HARRIMAN NY,Stream,,02030103,,,,,41.31221944000000,-74.1489000000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,071,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411940073564401,P2066,Well,,02030101,,,,,41.32719444000000,-73.9440277800000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,699,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,079,,,Basement Complex,Confined single aquifer,20031007,205,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-411959073522901,PEEKSKILL HOLLOW CREEK AT LAKE PEEKSKILL NY,Stream,,02030101,,,,,41.33306110000000,-73.8747306000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,079,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412039074072001,O1864,Well,,02020008,,,,,41.34341667000000,-74.1233611000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,479,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,Sand and gravel aquifers (glaciated regions),,Sand,Unconfined single aquifer,,134,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412149074293201,O3617,Well,,02020007,,,,,41.36361110000000,-74.4922222000000,24000,Unknown,Unknown,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,447,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,Sand and gravel aquifers (glaciated regions),,Sand and Gravel,,,41,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412410073360105,P1218,Well,,02030101,,,,,41.40111110000000,-73.5975000000000,24000,3,seconds,Interpolated from MAP.,NAD83,342,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,079,,,Sand and Gravel,,,50,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412414074424301,O9967,Well,,02040104,,,,,41.40413889000000,-74.7121583000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,800,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,Genesee Formation,,20131001,320,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412418074244202,O 403,Well,,02020007,,,,,41.40500000000000,-74.4116667000000,24000,Unknown,Unknown,Unknown.,NAD83,536,feet,1.6,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,,,,500,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412455073483001,P2209,Well,,02030101,,,,,41.41583330000000,-73.8083333000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,615,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,079,,,Basement Complex,,20040406,265,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412455073523301,AT 13074 UNNAMED TRIB TO W BR CANAPUS CREEK NY,Stream,,02030101,,,,,41.41551944000000,-73.8759944000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,915,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,079,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412638074111401,O8327,Well,,02020008,,,,,41.44388889000000,-74.1875000000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,511,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,Normanskill Formation,,20070625,403,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412715074030101,SILVER STREAM AT VAILS GATE NY,Stream,,02020008,,,,,41.45443889000000,-74.0502806000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,,,,,,,US,36,071,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412733073550801,P3198,Well,,02020008,,,,,41.46151667000000,-73.9182833000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,376,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,079,,,Bedrock,,20161013,470,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412814074322201,O5700,Well,,02020007,,,,,41.45666667000000,-74.5166667000000,24000,3,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,810,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,Trenton Group,,20030827,505,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412824074321901,O1348,Well,,02020007,,,,,41.47097220000000,-74.5428333000000,24000,.1,seconds,Mapping grade GPS unit (handheld accuracy range 12 to 40 ft),NAD83,819,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,071,,,"Ice-Contact Deposits, Pleistocene",Unconfined single aquifer,19960101,70,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-412944074474901,SV1600,Well,,02040104,,,,,41.49563889000000,-74.7915000000000,24000,.5,seconds,Unknown.,NAD83,1457,feet,4.3,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,105,,,Java-West Falls Formation,,20041215,320,ft,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-413013073484401,AT 13073 UNNAMED EPHEM TRIB TO WHORTLEKILL CR NY,Stream,,02020008,,,,,41.50378056000000,-73.8122861000000,24000,.01,seconds,Interpolated from Digital MAP.,NAD83,922,feet,5,feet,Interpolated from Digital Elevation Model,NAVD88,US,36,027,,,,,,,,,,NWIS
