Flow,Monitoring Set,Monitoring Location,Date,Analyte,Value,Unit,Test Location,Remarks
Base Flow,Six Mile Creek,Spur Creek,"May 17, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Six Mile Creek,Banks Road,"May 17, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Cayuta Creek,Cayuta Public Pull Out on 224,"May 21, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.9,mg/L,Lab,
Base Flow,Cayuta Creek,Pony Hollow Creek,"May 21, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.54,mg/L,Lab,
Base Flow,Six Mile Creek,Horse Farm,"May 17, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.005,mg/L,Lab,non-detect
Base Flow,Cayuta Creek,Cayuta Creek in Alpine,"Jul 30, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Virgil Creek,Virgil Creek Road,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.11,mg/L,Lab,
Base Flow,Virgil Creek,Virgil Creek Freeville,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.64,mg/L,Lab,
Base Flow,Virgil Creek,Dryden Lake Park,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.07,mg/L,Lab,
Base Flow,Fall Creek,Davis Road Bridge,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.23,mg/L,Lab,
Base Flow,Virgil Creek,Dryden Lake Outlet,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.48,mg/L,Lab,
Base Flow,Virgil Creek,Dryden Lake Inlet,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.87,mg/L,Lab,
Base Flow,Fall Creek,Lafayette Road,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.85,mg/L,Lab,
Base Flow,Fall Creek,Fall Creek Freeville,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.1,mg/L,Lab,
Base Flow,Fall Creek,Fall Creek Forest Home,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.85,mg/L,Lab,
Base Flow,Fall Creek,Cayuga Street Bridge,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.89,mg/L,Lab,
Base Flow,Fall Creek,Freese Road Bridge,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.93,mg/L,Lab,
Base Flow,Fall Creek,McLean Rd.,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.36,mg/L,Lab,
Base Flow,Fall Creek,Fall Creek Fire Department,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.36,mg/L,Lab,
Base Flow,Fall Creek,Como Lake Outlet,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.26,mg/L,Lab,
Base Flow,Fall Creek,Champlin Road Culvert,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,3.09,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Day Road at Marlena Point,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.42,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Middle Triad Trail,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.08,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Pulteney Mouth,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.0,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Glen Brook Mouth,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Cayuta Creek,Pony Hollow Creek @ 224,"May 21, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.22,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Brandy Bay Mouth,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Day Road at Marlena Point,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.41,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Willow Grove Mouth,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.29,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Reservoir Hill and Glen Brook,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Mt. Washington Mouth,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Reservoir Hill and Glen Brook,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.21,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Middle Triad Trail,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.18,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Brandy Bay Mouth,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Glen Brook Mouth,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.08,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Pulteney Mouth,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.47,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Mt. Washington Mouth,"Aug 09, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.22,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Willow Grove Mouth,"Jun 28, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,4.29,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Townline West,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.1,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Large Ridge,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,5.04,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek @ Cork & Townline,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,7.67,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek Mouth,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.61,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek @ Chase Rd. & Rt. 34B,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.29,mg/L,Lab,
Base Flow,Catharine Creek,Havana Glen Mouth,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.47,mg/L,Lab,
Base Flow,Catharine Creek,Catharine Creek in Millport,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.23,mg/L,Lab,
Base Flow,Reeder Creek,Reeder Creek Mouth,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.59,mg/L,Lab,
Base Flow,Virgil Creek,Spring House Bridge,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.63,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Mouth,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.1,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek North Branch,"May 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.81,mg/L,Lab,
Base Flow,Catharine Creek,Catharine Creek @ Genesee St ,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.08,mg/L,Lab,
Base Flow,Big Stream,Big Stream Mouth @ Glenora Point,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.3,mg/L,Lab,
Base Flow,Keuka Outlet,Charles St. Bridge,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.13,mg/L,Lab,
Base Flow,Keuka Outlet,Keuka Outlet Birkett Mills,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.38,mg/L,Lab,
Base Flow,Keuka Outlet,Fox\s Mill Rd.,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Keuka Outlet,Keuka Outlet @ Indian Pines Park,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.13,mg/L,Lab,
Base Flow,Keuka Outlet,Keuka Outlet - Downstream of Wastewater Plant,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.03,mg/L,Lab,
Base Flow,Keuka Outlet,Keuka Outlet @ Jacob Creek,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.08,mg/L,Lab,
Base Flow,Tug Hollow Creek,Glen Eldridge Creek Mouth,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.27,mg/L,Lab,
Base Flow,Big Stream,Big Stream @ Dundee-Glenora Rd,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.39,mg/L,Lab,
Base Flow,Big Stream,Dundee WWTP Discharge,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.51,mg/L,Lab,
Base Flow,Big Stream,Upstream Dundee Wastewater Plant,"Jun 06, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.3,mg/L,Lab,
Base Flow,Cayuga Inlet,Flood Control Channel at Wegman\s,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.23,mg/L,Lab,
Base Flow,Cayuga Inlet,Blakeslee Hill,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.15,mg/L,Lab,
Base Flow,Cayuga Inlet,Buttermilk Crk (upstream),"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.16,mg/L,Lab,
Base Flow,Cayuga Inlet,Buttermilk Creek Mouth,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Cayuga Inlet,Coy Glen near Mouth,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,3.66,mg/L,Lab,
Base Flow,Cayuga Inlet,Enfield Creek near Mouth,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.08,mg/L,Lab,
Base Flow,Cayuga Inlet,Lickbrook at W. Jersey Hill ,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.69,mg/L,Lab,
Base Flow,Cayuga Inlet,Cascadilla Creek Mouth,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.16,mg/L,Lab,
Base Flow,Cayuga Inlet,Farmers\ Market,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Cayuga Inlet,Upstream of Dam,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.2,mg/L,Lab,
Base Flow,Cayuga Inlet,Depot Road (Newfield),"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.15,mg/L,Lab,
Base Flow,Cayuga Inlet,Buttermilk Crk - Jennings Pnd,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Cayuga Inlet,Enfield Creek at Upper Treman,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Cayuga Inlet,Route 89,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Cayuga Inlet,Flood Control Channel Esty St,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Cayuga Inlet,Cherry and Taber St,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Cayuga Inlet,Cass Park,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.17,mg/L,Lab,
Base Flow,Cayuga Inlet,Downstream of Cornell University Borehole Observatory (CUBO) Site,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.07,mg/L,Lab,
Base Flow,Cayuga Inlet,Upstream of Cornell University Borehole Observatory (CUBO) Site,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.08,mg/L,Lab,
Base Flow,Cayuga Inlet,Cascadilla Creek Headwaters,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Pony Hollow Creek,Pony Hollow Creek @ Driveway Crossing,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.51,mg/L,Lab,
Base Flow,Pony Hollow Creek,Pony Hollow Creek @ Cayuta Rd.,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.66,mg/L,Lab,
Base Flow,Pony Hollow Creek,Chaffee Creek @ Route 13,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.2,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (H),"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.13,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (E),"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.88,mg/L,Lab,
Base Flow,Cayuga Lake,Lake Source Cooling Outfall,"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.46,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (E),"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.91,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (H),"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.09,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Shallow Southern Shelf,"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.92,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Heights Sewage Outfall,"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.02,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Large Ridge,"Jul 10, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,10.2,mg/L,Lab,
Base Flow,Cayuga Inlet,Station Road by Newfield Group,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Cayuga Inlet,Station Road by Buttermilk Group,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.005,mg/L,Lab,non-detect
Base Flow,Cayuga Inlet,Enfield Creek at Enfield Center,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.56,mg/L,Lab,
Base Flow,Cayuga Inlet,Brown Road,"Jun 15, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Mouth,"Jul 10, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,5.9,mg/L,Lab,
Base Flow,Cayuta Creek,Jackson Creek @ 224,"Oct 30, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Cayuta Creek,McDuffy Creek @ 224,"Oct 30, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.62,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake near Mouth of Salmon Creek,"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.91,mg/L,Lab,
Base Flow,Cayuga Lake,Ithaca Sewage Outfall,"Jun 25, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,4.08,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Townline West,"Jul 10, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.86,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek @ Cork & Townline,"Jul 10, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,13.4,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek @ Chamberlain & Benham Rd.,"Jul 10, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.65,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek Mouth,"Jul 10, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,7.27,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek @ Chase Rd. & Rt. 34B,"Jul 10, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,4.92,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at 96a,"Jun 21, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.46,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Hall Rd.,"Jun 21, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,5.84,mg/L,Lab,
Base Flow,Willow Creek,Willow Creek at Iradell Rd.,"Jun 22, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.41,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #3,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,8.23,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #3.5,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,7.95,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #4,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,7.91,mg/L,Lab,
Base Flow,Canoga Creek,Canoga Creek South Branch,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.17,mg/L,Lab,
Base Flow,Burroughs Creek,Wiiliamson Creek,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,19.1,mg/L,Lab,
Base Flow,Burroughs Creek,Burroughs Creek @ Seybolt Road,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,4.53,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek Mouth,"Jun 21, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,6.61,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Creek #1,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,6.31,mg/L,Lab,
Base Flow,Canoga Creek,Canoga Creek North Branch,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.15,mg/L,Lab,
Base Flow,Burroughs Creek,Burroughs Creek,"Jun 26, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,5.49,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Lodi Covert Townline Rd.,"Jun 21, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.3,mg/L,Lab,
Base Flow,Taughannock Creek,Podunk Road,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.41,mg/L,Lab,
Base Flow,Taughannock Creek,Halseyville Road,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.04,mg/L,Lab,
Base Flow,Taughannock Creek,Taughannock Falls,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.61,mg/L,Lab,
Base Flow,Taughannock Creek,Culver Road,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.41,mg/L,Lab,
Base Flow,Taughannock Creek,Mecklenburg,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,3.44,mg/L,Lab,
Base Flow,Taughannock Creek,Waterburg Road,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.38,mg/L,Lab,
Base Flow,Taughannock Creek,Spring Brook,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.76,mg/L,Lab,
Base Flow,Taughannock Creek,Taughannock Creek Depew Rd.,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.78,mg/L,Lab,
Base Flow,Taughannock Creek,Bolter Creek,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.77,mg/L,Lab,
Base Flow,Trumansburg Creek,Lake Street Bridge,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.01,mg/L,Lab,
Base Flow,Trumansburg Creek,Curry Road,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.93,mg/L,Lab,
Base Flow,Trumansburg Creek,Outfall of Sewage Plant,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,25.5,mg/L,Lab,
Base Flow,Trumansburg Creek,Salo Drive,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.1,mg/L,Lab,
Base Flow,Trumansburg Creek,Boardman Creek,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.04,mg/L,Lab,
Base Flow,Trumansburg Creek,Camp Barton,"Jul 18, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,2.32,mg/L,Lab,
Base Flow,Salmon Creek,Center Road,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,13.0,mg/L,Lab,
Base Flow,Salmon Creek,Sherwood Road,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,8.93,mg/L,Lab,
Base Flow,Salmon Creek,Genoa,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,8.61,mg/L,Lab,
Base Flow,Salmon Creek,Tile Kiln Road,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,11.3,mg/L,Lab,
Base Flow,Salmon Creek,Lockerby Hill Road,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,6.41,mg/L,Lab,
Base Flow,Salmon Creek,Little Salmon Creek Above Fork,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,7.17,mg/L,Lab,
Base Flow,Salmon Creek,Bridge @ Blakley Rd.,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,7.5,mg/L,Lab,
Base Flow,Salmon Creek,North Ludlowville,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,5.56,mg/L,Lab,
Base Flow,Salmon Creek,Locke Creek,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,5.03,mg/L,Lab,
Base Flow,Salmon Creek,Salmon Creek Mouth,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,5.79,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake near Mouth of Salmon Creek,"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.85,mg/L,Lab,
Base Flow,Glenwood Creek,Glenwood Creek at Hayts Rd.,"Jul 11, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,3.6,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (E),"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.84,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Shallow Southern Shelf,"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.82,mg/L,Lab,
Base Flow,Cayuga Lake,Middle of Lake Opposite Mouth of Salmon Creek (H),"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.12,mg/L,Lab,
Base Flow,Cayuga Lake,Ithaca Sewage Outfall,"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.79,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Heights Sewage Outfall,"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.78,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (H),"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.98,mg/L,Lab,
Base Flow,Cayuga Lake,Cayuga Lake North of Myers Point (E),"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.73,mg/L,Lab,
Base Flow,Cayuga Lake,Lake Source Cooling Outfall,"Aug 02, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.79,mg/L,Lab,
Base Flow,Six Mile Creek,Wildflower Preserve,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.07,mg/L,Lab,
Base Flow,Six Mile Creek,Plain Street,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Six Mile Creek,Brooktondale,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.13,mg/L,Lab,
Base Flow,Six Mile Creek,Boiceville,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Six Mile Creek,Midline Rd,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Six Mile Creek,Irish Settlement Rd,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.04,mg/L,Lab,
Base Flow,Six Mile Creek,Yellow Barn Road,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Six Mile Creek,Gasline,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Six Mile Creek,Beaver Creek,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.05,mg/L,Lab,
Base Flow,Six Mile Creek,Six Hundred Rd,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.06,mg/L,Lab,
Base Flow,Six Mile Creek,Barrile Site,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.09,mg/L,Lab,
Base Flow,Six Mile Creek,Banks Road,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Six Mile Creek,Spur Creek,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.07,mg/L,Lab,
Base Flow,Six Mile Creek,German Cross Road,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Lodi Covert Townline Rd.,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,1.42,mg/L,Lab,
Base Flow,Six Mile Creek,Horse Farm,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.15,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek Mouth,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.8,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Creek #1,"Aug 17, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.94,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #3.5,"Aug 17, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.96,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #4,"Aug 17, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.96,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at 96a,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.95,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Hall Rd.,"Aug 16, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.77,mg/L,Lab,
Base Flow,Milliken Creek,Milliken Station #3,"Aug 17, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.98,mg/L,Lab,
Base Flow,Cayuga Inlet,Station Road by Newfield Group,"Sep 07, 2023",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
